country,region,objetivo 500,objetivo 250,objetivo 100,0bjetivo 50,sub_region,
Afghanistan,EMRO,500,250,100,50,All,
Albania,EURO,500,250,100,50,All,
Algeria,AFRO,500,250,100,50,All,
Andorra,EURO,500,250,100,50,All,
Angola,AFRO,500,250,100,50,All,
Antigua and Barbuda,AMRO,500,250,100,50,Non-Latin Caribbean,
Argentina,AMRO,500,250,100,50,South Cone,
Armenia,EURO,500,250,100,50,All,
Australia,WPRO,500,250,100,50,All,
Austria,EURO,500,250,100,50,All,
Azerbaijan,EURO,500,250,100,50,All,
Bahamas,AMRO,500,250,100,50,Non-Latin Caribbean,
Bahrain,EMRO,500,250,100,50,All,
Bangladesh,SEARO,500,250,100,50,All,
Barbados,AMRO,500,250,100,50,Non-Latin Caribbean,
Belarus,EURO,500,250,100,50,All,
Belgium,EURO,500,250,100,50,All,
Belize,AMRO,500,250,100,50,Non-Latin Caribbean,
Benin,AFRO,500,250,100,50,All,
Bhutan,SEARO,500,250,100,50,All,
Bolivia,AMRO,500,250,100,50,Andean,
Bosnia and Herzegovina,EURO,500,250,100,50,All,
Botswana,AFRO,500,250,100,50,All,
Brazil,AMRO,500,250,100,50,South Cone,
Brunei,WPRO,500,250,100,50,All,
Bulgaria,EURO,500,250,100,50,All,
Burkina Faso,AFRO,500,250,100,50,All,
Burundi,AFRO,500,250,100,50,All,
Cambodia,WPRO,500,250,100,50,All,
Cameroon,AFRO,500,250,100,50,All,
Canada,AMRO,500,250,100,50,North America,
Cape Verde,AFRO,500,250,100,50,All,
Central African Republic,AFRO,500,250,100,50,All,
Chad,AFRO,500,250,100,50,All,
Chile,AMRO,500,250,100,50,South Cone,
China,WPRO,500,250,100,50,All,
Colombia,AMRO,500,250,100,50,Andean,
Comoros,AFRO,500,250,100,50,All,
Congo,AFRO,500,250,100,50,All,
Costa Rica,AMRO,500,250,100,50,Central America,
Cote d'Ivoire,AFRO,500,250,100,50,All,
Croatia,EURO,500,250,100,50,All,
Cuba,AMRO,500,250,100,50,Latin Caribbean,
Cyprus,EURO,500,250,100,50,All,
Czechia,EURO,500,250,100,50,All,
Democratic Republic of Congo,AFRO,500,250,100,50,All,
Denmark,EURO,500,250,100,50,All,
Djibouti,EMRO,500,250,100,50,All,
Dominica,AMRO,500,250,100,50,Non-Latin Caribbean,
Dominican Republic,AMRO,500,250,100,50,Latin Caribbean,
Ecuador,AMRO,500,250,100,50,Andean,
Egypt,EMRO,500,250,100,50,All,
El Salvador,AMRO,500,250,100,50,Central America,
Equatorial Guinea,AFRO,500,250,100,50,All,
Eritrea,AFRO,500,250,100,50,All,
Estonia,EURO,500,250,100,50,All,
Eswatini,AFRO,500,250,100,50,All,
Ethiopia,AFRO,500,250,100,50,All,
Fiji,WPRO,500,250,100,50,All,
Finland,EURO,500,250,100,50,All,
France,EURO,500,250,100,50,All,
Gabon,AFRO,500,250,100,50,All,
Gambia,AFRO,500,250,100,50,All,
Georgia,EURO,500,250,100,50,All,
Germany,EURO,500,250,100,50,All,
Ghana,AFRO,500,250,100,50,All,
Greece,EURO,500,250,100,50,All,
Grenada,AMRO,500,250,100,50,Non-Latin Caribbean,
Guatemala,AMRO,500,250,100,50,Central America,
Guinea,AFRO,500,250,100,50,All,
Guinea-Bissau,AFRO,500,250,100,50,All,
Guyana,AMRO,500,250,100,50,Non-Latin Caribbean,
Haiti,AMRO,500,250,100,50,Non-Latin Caribbean,
Honduras,AMRO,500,250,100,50,Central America,
Hungary,EURO,500,250,100,50,All,
Iceland,EURO,500,250,100,50,All,
India,SEARO,500,250,100,50,All,
Indonesia,SEARO,500,250,100,50,All,
Iran,EMRO,500,250,100,50,All,
Iraq,EMRO,500,250,100,50,All,
Ireland,EURO,500,250,100,50,All,
Israel,EURO,500,250,100,50,All,
Italy,EURO,500,250,100,50,All,
Jamaica,AMRO,500,250,100,50,Non-Latin Caribbean,
Japan,WPRO,500,250,100,50,All,
Jordan,EMRO,500,250,100,50,All,
Kazakhstan,EURO,500,250,100,50,All,
Kenya,AFRO,500,250,100,50,All,
Kosovo,EURO,500,250,100,50,All,
Kuwait,EMRO,500,250,100,50,All,
Kyrgyzstan,EURO,500,250,100,50,All,
Laos,WPRO,500,250,100,50,All,
Latvia,EURO,500,250,100,50,All,
Lebanon,EMRO,500,250,100,50,All,
Lesotho,AFRO,500,250,100,50,All,
Liberia,AFRO,500,250,100,50,All,
Libya,EMRO,500,250,100,50,All,
Liechtenstein,EURO,500,250,100,50,All,
Lithuania,EURO,500,250,100,50,All,
Luxembourg,EURO,500,250,100,50,All,
Madagascar,AFRO,500,250,100,50,All,
Malawi,AFRO,500,250,100,50,All,
Malaysia,WPRO,500,250,100,50,All,
Maldives,SEARO,500,250,100,50,All,
Mali,AFRO,500,250,100,50,All,
Malta,EURO,500,250,100,50,All,
Marshall Islands,WPRO,500,250,100,50,All,
Mauritania,AFRO,500,250,100,50,All,
Mauritius,AFRO,500,250,100,50,All,
Mexico,AMRO,500,250,100,50,North America,
